wkt_geom,Address,City,province,Country,result_num,osm_id,display_na,category,type,latlong
Point (-79.46523661428571472 43.6641297142857141),181 MAVETY ST,Toronto,ON,Canada,0,67808332,"181, Mavety Street, The Junction, Parkdale—High Park, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6P, Canada",place,house,"43.664129714285714,-79.46523661428571"
Point (-79.38531179999999665 43.64929939999999675),181 UNIVERSITY AVE,Toronto,ON,Canada,0,3826749555,"Ricketts, Harris LLP, 181, University Avenue, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5H 2X7, Canada",office,lawyer,"43.6492994,-79.3853118"
Point (-79.34429375180316413 43.77775850000000446),1800 SHEPPARD AVE E,Toronto,ON,Canada,0,662538570,"CF Fairview Mall, 1800, Sheppard Avenue East, Parkway Forest, Don Valley North, North York, Toronto, Golden Horseshoe, Ontario, M2J 5A7, Canada",shop,mall,"43.777758500000004,-79.34429375180316"
Point (-79.34975081582670953 43.66211300000000506),181 BROADVIEW AVE,Toronto,ON,Canada,0,224666315,"Queen Alexandra Middle School, 181, Broadview Avenue, Riverdale, Toronto—Danforth, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4M 2G3, Canada",amenity,school,"43.662113000000005,-79.34975081582671"
Point (-79.35696464338292344 43.67683264999999437),180 DANFORTH AVE,Toronto,ON,Canada,0,440120364,"Shoppers Drug Mart, 180, Danforth Avenue, Playter Estates, Toronto—Danforth, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4K 1N1, Canada",amenity,pharmacy,"43.676832649999994,-79.35696464338292"
Point (-79.42356441111111565 43.64596173333332985),180 DOVERCOURT RD,Toronto,ON,Canada,0,66232530,"180, Dovercourt Road, Little Portugal, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6J 1X8, Canada",place,house,"43.64596173333333,-79.42356441111112"
Point (-79.51159630414716162 43.72398090000000082),180 CHALKFARM DR,Toronto,ON,Canada,0,180471233,"Chalkfarm Community Centre, 180, Chalkfarm Drive, Humber River—Black Creek, North York, Toronto, Golden Horseshoe, Ontario, M3L 2H9, Canada",amenity,community_centre,"43.7239809,-79.51159630414716"
Point (-79.33111200000000451 43.79742370000000307),180 CHESTER LE BLVD,Toronto,ON,Canada,0,896737702,"180, Chester Le Boulevard, Scarborough—Agincourt, Scarborough, Toronto, Golden Horseshoe, Ontario, M1W 2K7, Canada",place,house,"43.7974237,-79.331112"
Point (-79.39162949999999341 43.65076249999999902),180 JOHN ST,Toronto,ON,Canada,0,557804029,"Thor Espresso, 180, John Street, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 1X4, Canada",amenity,cafe,"43.6507625,-79.3916295"
Point (-79.38859899999999925 43.6476159999999993),180 PEARL ST,Toronto,ON,Canada,0,4036638449,"180, Pearl Street, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5H, Canada",place,house,"43.647616,-79.388599"
